Date,"HHS Region 1 (CT, ME, MA, NH, RI, VT)","HHS Region 2 (NJ, NY)","HHS Region 3 (DE, DC, MD, PA, VA, WV)","HHS Region 4 (AL, FL, GA, KY, MS, NC, SC, TN)","HHS Region 5 (IL, IN, MI, MN, OH, WI)","HHS Region 6 (AR, LA, NM, OK, TX)","HHS Region 7 (IA, KS, MO, NE)","HHS Region 8 (CO, MT, ND, SD, UT, WY)","HHS Region 9 (AZ, CA, HI, NV)","HHS Region 10 (AK, ID, OR, WA)"
4/3/2005,706,1161,1827,999,1106,2063,752,608,1676,1351
4/10/2005,529,869,1405,838,991,1662,581,490,1458,1240
4/17/2005,490,816,1381,754,775,1586,576,496,1332,988
4/24/2005,369,759,1340,696,783,1409,486,444,1218,917
5/1/2005,360,705,1316,668,741,1422,413,368,1132,816
5/8/2005,353,626,1180,616,662,1238,393,305,1174,769
5/15/2005,338,588,1182,534,584,1244,391,274,1097,724
5/22/2005,314,602,1090,550,595,1206,449,265,1064,661
5/29/2005,295,584,1108,565,588,1144,487,270,1013,618
6/5/2005,264,570,1081,490,516,1103,344,239,874,614
6/12/2005,275,520,1063,483,472,1078,292,236,941,644
6/19/2005,250,512,1032,469,523,1038,285,229,880,742
6/26/2005,214,488,959,458,506,960,283,240,791,598
7/3/2005,237,473,1051,481,469,1008,308,232,813,527
7/10/2005,283,502,947,444,519,998,320,225,830,608
7/17/2005,261,508,965,490,441,996,299,229,780,525
7/24/2005,223,537,951,449,462,982,297,222,733,522
7/31/2005,227,501,913,469,526,997,302,236,723,586
8/7/2005,243,529,1002,495,467,1066,308,225,780,581
8/14/2005,239,521,1067,508,545,1121,302,231,799,573
8/21/2005,249,642,1074,529,584,1127,310,267,880,564
8/28/2005,275,556,1064,559,588,1115,319,286,870,488
9/4/2005,296,608,1221,633,694,1334,397,284,950,534
9/11/2005,427,914,1422,730,855,1841,547,367,1374,1000
9/18/2005,476,955,1417,740,995,1494,501,470,1316,909
9/25/2005,545,1055,1551,816,977,1709,559,408,1566,1141
10/2/2005,614,1209,1774,951,1211,2032,722,581,1955,1671
10/9/2005,906,1351,2195,1162,1433,2541,802,697,2248,2141
10/16/2005,890,1331,2094,1202,1349,2463,831,728,2223,1831
10/23/2005,824,1481,2220,1257,1421,2506,874,710,1974,1566
10/30/2005,1087,1845,2540,1538,1661,3094,1025,916,2513,2004
11/6/2005,881,1571,2266,1467,1475,2920,903,902,2233,1653
11/13/2005,943,1536,2425,1447,1476,2858,886,889,2347,1640
11/20/2005,745,1315,2139,1236,1304,2597,779,681,2287,1535
11/27/2005,914,1471,2258,1315,1477,2834,887,761,2389,1557
12/4/2005,803,1447,2177,1303,1378,2865,881,865,2928,1438
12/11/2005,743,1408,2155,1410,1404,3412,893,933,4371,1989
12/18/2005,928,1605,2375,1560,1560,4397,1046,1516,6042,3033
12/25/2005,1186,2134,2729,1971,1970,5326,1415,2058,6296,3133
1/1/2006,1207,2087,2725,1816,1940,4344,1288,1388,4052,2660
1/8/2006,1052,1784,2335,1487,1603,3797,998,1089,2836,2180
1/15/2006,942,1684,2281,1541,1519,3895,1137,1067,2197,1950
1/22/2006,964,1873,2552,1700,1626,4145,1244,1055,2223,1853
1/29/2006,1023,1910,2479,1823,1680,4124,1316,1069,2097,1847
2/5/2006,1136,2106,2533,1943,1791,3935,1502,1028,2033,1667
2/12/2006,1297,2171,2742,2526,1946,4218,1678,1082,2045,1640
2/19/2006,1413,2227,3102,2737,2139,3798,1754,1214,2052,1867
2/26/2006,1443,2220,3306,2482,2366,3515,1738,1248,2040,1998
3/5/2006,1520,2131,3597,2103,2386,2859,1591,1236,1938,1892
3/12/2006,1344,1806,3128,1644,2038,2401,1209,1227,2081,2121
3/19/2006,1494,1792,2809,1379,1948,2141,984,1172,2132,2361
3/26/2006,1240,1521,2726,1302,1770,2222,842,923,1933,2187
4/2/2006,1020,1404,2312,953,1331,1920,718,582,1801,1611
4/9/2006,817,1159,1883,807,1197,1734,562,527,1578,1351
4/16/2006,659,978,1587,742,941,1596,487,466,1432,1174
4/23/2006,539,858,1436,698,892,1615,474,447,1231,1027
4/30/2006,463,816,1447,669,856,1524,485,471,1243,1088
